target_id	length	eff_length	est_counts	tpm
TRINITY_DN1054_c0_g1_i1	340	155.575	0	0
TRINITY_DN1054_c0_g1_i2	662	477.143	5	39.5047
TRINITY_DN1054_c1_g1_i1	601	416.143	0	0
TRINITY_DN1054_c3_g1_i1	269	87.3985	1	43.1343
TRINITY_DN1054_c4_g1_i1	206	36.3565	0	0
TRINITY_DN1052_c0_g1_i1	390	205.236	0	0
TRINITY_DN1052_c0_g1_i2	805	620.143	7	42.5533
TRINITY_DN1085_c0_g1_i1	1905	1720.14	4	8.76642
TRINITY_DN1051_c0_g1_i2	547	362.143	0	0
TRINITY_DN1051_c0_g1_i4	567	382.143	0	0
TRINITY_DN1051_c0_g2_i1	2168	1983.14	19	36.1182
TRINITY_DN1051_c0_g3_i1	572	387.143	0	0
TRINITY_DN1051_c1_g1_i1	716	531.143	0	0
TRINITY_DN1051_c2_g1_i1	460	275.165	0	0
TRINITY_DN1102_c0_g1_i1	384	199.263	2	37.8381
TRINITY_DN1102_c0_g1_i2	278	95.6093	3	118.29
TRINITY_DN1061_c0_g1_i1	344	159.512	2	47.2676
TRINITY_DN1095_c0_g1_i1	505	320.165	1	11.7748
TRINITY_DN1095_c0_g1_i2	295	111.704	0	0
TRINITY_DN1084_c0_g1_i1	384	199.263	0	0
TRINITY_DN1084_c1_g1_i1	215	42.728	1	88.2296
TRINITY_DN1084_c1_g2_i1	245	66.4585	0	0
TRINITY_DN1084_c2_g1_i1	262	81.107	0	0
TRINITY_DN1084_c2_g1_i2	322	137.869	0	0
TRINITY_DN1084_c2_g2_i1	865	680.143	19	105.313
TRINITY_DN1084_c2_g2_i2	220	46.4469	0	0
TRINITY_DN1084_c2_g3_i1	395	210.209	0	0
TRINITY_DN1084_c2_g4_i1	361	176.389	2	42.7451
TRINITY_DN1084_c2_g5_i1	266	84.689	1.16294	51.7673
TRINITY_DN1084_c2_g6_i1	299	115.474	0	0
TRINITY_DN1084_c2_g6_i2	237	59.7735	0	0
TRINITY_DN1084_c2_g7_i1	642	457.143	1	8.2466
TRINITY_DN1084_c2_g8_i1	246	67.3057	1	56.0112
TRINITY_DN1084_c2_g9_i1	232	55.707	0	0
TRINITY_DN1084_c3_g1_i1	212	40.5927	0	0
TRINITY_DN1084_c4_g1_i1	213	41.295	1	91.2914
TRINITY_DN1084_c5_g1_i1	393	208.209	2	36.2125
TRINITY_DN1084_c6_g1_i1	216	43.4794	0	0
TRINITY_DN1084_c7_g1_i1	289	105.99	2	71.1361
TRINITY_DN1084_c8_g1_i1	420	235.165	3	48.0923
TRINITY_DN1084_c9_g1_i1	258	77.5901	0	0
TRINITY_DN1084_c10_g1_i1	273	91.0304	1	41.4133
TRINITY_DN1084_c11_g1_i1	286	103.096	0	0
TRINITY_DN1084_c12_g1_i1	414	229.165	1	16.4505
TRINITY_DN1084_c13_g1_i1	221	47.1517	0	0
TRINITY_DN1089_c0_g1_i1	668	483.143	0	0
TRINITY_DN1009_c0_g1_i1	497	312.165	1	12.0765
TRINITY_DN1103_c0_g1_i1	298	114.528	0	0
TRINITY_DN1103_c0_g1_i2	712	527.143	3	21.4546
TRINITY_DN1081_c0_g1_i1	664	479.143	1	7.86795
TRINITY_DN1071_c0_g1_i1	1787	1602.14	14	32.9423
TRINITY_DN1104_c0_g1_i1	204	34.9594	0	0
TRINITY_DN1104_c0_g1_i2	716	531.143	0	0
TRINITY_DN1065_c0_g1_i1	1312	1127.14	0	0
TRINITY_DN1065_c1_g1_i1	323	138.859	0	0
TRINITY_DN1065_c2_g1_i1	238	60.5938	0	0
TRINITY_DN1046_c0_g1_i1	481	296.165	3	38.1869
TRINITY_DN1027_c0_g1_i1	998	813.143	23	106.632
TRINITY_DN1027_c0_g1_i2	271	89.2344	1	42.2469
TRINITY_DN1060_c0_g1_i1	913	728.143	17.8398	92.3636
TRINITY_DN1060_c0_g1_i2	1881	1696.14	1261.86	2804.64
TRINITY_DN1060_c0_g1_i3	1252	1067.14	0	0
TRINITY_DN1060_c0_g1_i5	867	682.143	14	77.3712
TRINITY_DN1060_c0_g1_i6	2097	1912.14	579.281	1142.08
TRINITY_DN1060_c0_g2_i1	676	491.143	6.94881	53.3371
TRINITY_DN1060_c0_g2_i2	508	323.165	5.06561	59.0928
TRINITY_DN1060_c1_g1_i1	403	218.18	2	34.5575
TRINITY_DN1060_c1_g2_i1	1326	1141.14	45	148.662
TRINITY_DN1060_c2_g1_i1	1457	1272.14	5	14.817
TRINITY_DN1060_c2_g2_i1	785	600.143	0	0
TRINITY_DN1060_c2_g3_i1	434	249.165	2	30.2601
TRINITY_DN1060_c3_g1_i1	373	188.34	2	40.0326
TRINITY_DN1060_c4_g1_i1	277	94.7197	2	79.6006
TRINITY_DN1083_c0_g1_i1	754	569.143	6	39.7426
TRINITY_DN1098_c0_g1_i1	559	374.143	0	0
TRINITY_DN1106_c0_g1_i1	433	248.165	0	0
TRINITY_DN1106_c0_g1_i2	368	183.34	0	0
TRINITY_DN1074_c0_g1_i1	1562	1377.14	0	0
TRINITY_DN1074_c0_g1_i2	277	94.7197	0	0
TRINITY_DN1074_c0_g1_i3	2042	1857.14	7	14.2095
TRINITY_DN1105_c0_g1_i1	246	67.3057	0	0
TRINITY_DN1105_c0_g2_i1	1369	1184.14	10	31.8363
TRINITY_DN1105_c0_g3_i2	345	160.49	1.62439	38.1564
TRINITY_DN1105_c0_g3_i3	981	796.143	69.3756	328.505
TRINITY_DN1105_c0_g3_i4	1038	853.143	0	0
TRINITY_DN1105_c0_g4_i1	2004	1819.14	13	26.9403
TRINITY_DN1105_c1_g1_i1	380	195.289	0	0
TRINITY_DN1105_c2_g1_i1	634	449.143	1	8.39348
TRINITY_DN1105_c2_g2_i1	1302	1117.14	13	43.8694
TRINITY_DN1105_c3_g1_i1	556	371.143	9	91.4172
TRINITY_DN1040_c0_g1_i1	261	80.1853	1	47.0145
TRINITY_DN1040_c0_g2_i1	396	211.209	0	0
TRINITY_DN1068_c1_g1_i1	214	41.9943	0	0
TRINITY_DN1057_c0_g1_i1	522	337.143	2	22.3636
TRINITY_DN1035_c0_g1_i2	246	67.3057	1	56.0112
TRINITY_DN1035_c1_g1_i1	502	317.165	2	23.7723
TRINITY_DN1035_c2_g1_i1	202	33.5852	0	0
TRINITY_DN1099_c0_g1_i1	385	200.25	1	18.8259
TRINITY_DN1099_c0_g2_i1	657	472.143	2	15.9692
TRINITY_DN1029_c0_g1_i1	360	175.4	3	64.4789
TRINITY_DN1045_c0_g1_i1	227	51.8096	1	72.7639
TRINITY_DN1045_c1_g1_i1	235	58.0575	1	64.9334
TRINITY_DN1015_c0_g1_i1	845	660.143	4	22.8428
TRINITY_DN1038_c0_g1_i1	508	323.165	3	34.9964
TRINITY_DN1067_c0_g1_i1	361	176.389	0	0
TRINITY_DN1047_c0_g1_i10	4387	4202.14	12.5031	11.2169
