target_id	length	eff_length	est_counts	tpm
TRINITY_DN1054_c0_g1_i1	340	147.61	2	59.8658
TRINITY_DN1054_c0_g1_i2	662	468.647	0	0
TRINITY_DN1054_c1_g1_i1	601	407.647	4	43.355
TRINITY_DN1054_c3_g1_i1	269	81.8319	2	107.987
TRINITY_DN1054_c4_g1_i1	206	34.7064	1	127.307
TRINITY_DN1052_c0_g1_i1	390	196.865	0	0
TRINITY_DN1052_c0_g1_i2	805	611.607	7	50.5695
TRINITY_DN1085_c0_g1_i1	1905	1711.61	7	18.07
TRINITY_DN1051_c0_g1_i2	547	353.647	4	49.975
TRINITY_DN1051_c0_g1_i4	567	373.647	0	0
TRINITY_DN1051_c0_g2_i1	2168	1974.61	15	33.564
TRINITY_DN1051_c0_g3_i1	572	378.647	2	23.3377
TRINITY_DN1051_c1_g1_i1	716	522.647	4	33.8154
TRINITY_DN1051_c2_g1_i1	460	266.687	1	16.5676
TRINITY_DN1102_c0_g1_i1	384	190.892	0	0
TRINITY_DN1102_c0_g1_i2	278	89.574	0	0
TRINITY_DN1061_c0_g1_i1	344	151.536	0	0
TRINITY_DN1095_c0_g1_i1	505	311.647	1	14.1775
TRINITY_DN1095_c0_g1_i2	295	104.95	0	0
TRINITY_DN1084_c0_g1_i1	384	190.892	1	23.1459
TRINITY_DN1084_c1_g1_i1	215	40.5794	0	0
TRINITY_DN1084_c1_g2_i1	245	62.3354	2	141.762
TRINITY_DN1084_c2_g1_i1	262	75.9386	3	174.551
TRINITY_DN1084_c2_g1_i2	322	130.333	0	0
TRINITY_DN1084_c2_g2_i1	865	671.607	31	203.943
TRINITY_DN1084_c2_g2_i2	220	43.92	2	201.201
TRINITY_DN1084_c2_g3_i1	395	201.823	0	0
TRINITY_DN1084_c2_g4_i1	361	168.176	3	78.8169
TRINITY_DN1084_c2_g5_i1	266	79.2321	0	0
TRINITY_DN1084_c2_g6_i1	299	108.599	0	0
TRINITY_DN1084_c2_g6_i2	237	56.2659	1	78.5268
TRINITY_DN1084_c2_g7_i1	642	448.647	3	29.5447
TRINITY_DN1084_c2_g8_i1	246	63.0647	1	70.0611
TRINITY_DN1084_c2_g9_i1	232	52.545	0	0
TRINITY_DN1084_c3_g1_i1	212	38.5696	0	0
TRINITY_DN1084_c4_g1_i1	213	39.235	0	0
TRINITY_DN1084_c5_g1_i1	393	199.823	0	0
TRINITY_DN1084_c6_g1_i1	216	41.2212	1	107.187
TRINITY_DN1084_c7_g1_i1	289	99.3898	1	44.455
TRINITY_DN1084_c8_g1_i1	420	226.704	1	19.4897
TRINITY_DN1084_c9_g1_i1	258	72.671	0	0
TRINITY_DN1084_c10_g1_i1	273	85.2659	3	155.456
TRINITY_DN1084_c11_g1_i1	286	96.7219	1	45.6813
TRINITY_DN1084_c12_g1_i1	414	220.72	1	20.0181
TRINITY_DN1084_c13_g1_i1	221	44.6213	0	0
TRINITY_DN1089_c0_g1_i1	668	474.647	3	27.9263
TRINITY_DN1009_c0_g1_i1	497	303.668	1	14.55
