target_id	length	eff_length	est_counts	tpm
TRINITY_DN1054_c0_g1_i1	340	156.133	3	75.4111
TRINITY_DN1054_c0_g1_i2	662	477.917	7	57.4848
TRINITY_DN1054_c1_g1_i1	601	416.917	0	0
TRINITY_DN1054_c3_g1_i1	269	87.5626	0	0
TRINITY_DN1054_c4_g1_i1	206	36.2182	0	0
TRINITY_DN1052_c0_g1_i1	390	205.95	0	0
TRINITY_DN1052_c0_g1_i2	805	620.917	4	25.2833
TRINITY_DN1085_c0_g1_i1	1905	1720.92	4	9.12237
TRINITY_DN1051_c0_g1_i2	547	362.917	1	10.8143
TRINITY_DN1051_c0_g1_i4	567	382.917	0	0
TRINITY_DN1051_c0_g2_i1	2168	1983.92	17	33.6305
TRINITY_DN1051_c0_g3_i1	572	387.917	1	10.1174
TRINITY_DN1051_c1_g1_i1	716	531.917	0	0
TRINITY_DN1051_c2_g1_i1	460	275.917	0	0
TRINITY_DN1102_c0_g1_i1	384	199.95	0	0
TRINITY_DN1102_c0_g1_i2	278	96.0302	0	0
TRINITY_DN1061_c0_g1_i1	344	160.09	2	49.0312
TRINITY_DN1095_c0_g1_i1	505	320.917	3	36.689
TRINITY_DN1095_c0_g1_i2	295	112.204	1	34.9783
TRINITY_DN1084_c0_g1_i1	384	199.95	1	19.6284
TRINITY_DN1084_c1_g1_i1	215	42.5061	1	92.3328
TRINITY_DN1084_c1_g2_i1	245	66.3926	0	0
TRINITY_DN1084_c2_g1_i1	262	81.2305	1	48.3157
TRINITY_DN1084_c2_g1_i2	322	138.408	0	0
TRINITY_DN1084_c2_g2_i1	865	680.917	27	155.624
TRINITY_DN1084_c2_g2_i2	220	46.1858	0	0
TRINITY_DN1084_c2_g3_i1	395	210.95	1	18.6049
TRINITY_DN1084_c2_g4_i1	361	177	0	0
TRINITY_DN1084_c2_g5_i1	266	84.8941	2.89053	133.631
TRINITY_DN1084_c2_g6_i1	299	116.011	1	33.8305
TRINITY_DN1084_c2_g6_i2	237	59.6159	0	0
TRINITY_DN1084_c2_g7_i1	642	457.917	0	0
TRINITY_DN1084_c2_g8_i1	246	67.222	0	0
TRINITY_DN1084_c2_g9_i1	232	55.4485	0	0
TRINITY_DN1084_c3_g1_i1	212	40.3868	0	0
TRINITY_DN1084_c4_g1_i1	213	41.0864	1	95.5233
TRINITY_DN1084_c5_g1_i1	393	208.95	0	0
TRINITY_DN1084_c6_g1_i1	216	43.2304	1	90.7858
TRINITY_DN1084_c7_g1_i1	289	106.449	2	73.7391
TRINITY_DN1084_c8_g1_i1	420	235.95	1	16.6336
TRINITY_DN1084_c9_g1_i1	258	77.6934	3	151.546
TRINITY_DN1084_c10_g1_i1	273	91.3302	1	42.9727
TRINITY_DN1084_c11_g1_i1	286	103.584	0	0
TRINITY_DN1084_c12_g1_i1	414	229.95	0	0
TRINITY_DN1084_c13_g1_i1	221	46.9487	0	0
TRINITY_DN1089_c0_g1_i1	668	483.917	0	0
TRINITY_DN1009_c0_g1_i1	497	312.917	3	37.627
TRINITY_DN1103_c0_g1_i1	298	115.066	0	0
TRINITY_DN1103_c0_g1_i2	712	527.917	2	14.8686
TRINITY_DN1081_c0_g1_i1	664	479.917	0	0
TRINITY_DN1071_c0_g1_i1	1787	1602.92	11	26.9333
TRINITY_DN1104_c0_g1_i1	204	34.9661	0	0
TRINITY_DN1104_c0_g1_i2	716	531.917	0	0
TRINITY_DN1065_c0_g1_i1	1312	1127.92	0	0
TRINITY_DN1065_c1_g1_i1	323	139.37	2	56.3206
TRINITY_DN1065_c2_g1_i1	238	60.4122	0	0
TRINITY_DN1046_c0_g1_i1	481	296.917	2	26.4364
TRINITY_DN1027_c0_g1_i1	998	813.917	16	77.152
TRINITY_DN1027_c0_g1_i2	271	89.4353	0	0
TRINITY_DN1060_c0_g1_i1	913	728.917	21.8889	117.856
TRINITY_DN1060_c0_g1_i2	1881	1696.92	1190.01	2752.31
TRINITY_DN1060_c0_g1_i3	1252	1067.92	0	0
